Dzień	zadanie	przedmiot	opis_zadania	data				
poniedziałek	kupic zeszyt	matma	kupic zeszyt na matme	Wed Feb 8 2023
fgdfg	fdgdf	fdgdfg	gfddfgdf	Sat Jan 1 2000
wtorek	kupic dlugopis	ggergreg	fghrefhrethrethter	Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sun Jan 2 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
				Sat Jan 1 2000
fdgfdfdg	fdgdfg	dfgfdg	fdgdfg	Sat Jan 1 2000
				Sat Jan 1 2000
fgerge	greg	ergeg	ergegergeg	Sat Jan 1 2000
				Sat Jan 1 2000
wtorek	egzamin	fizyka	kupic nauczyc sie na egzamin we wtorek	Sat Mar 4 2023
dfwsgsdgsg	sgsdgsdg	sgwg	wgwgwegwe	Sun Jan 1 2023
